,,,,,,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),,AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),,,,,,,,
GREEN,NA,STATION A,STATION C,0,2,0,0,0,,,,,,,,,
GREEN,NA,STATION C,STATION D,0,2,0,0,0,,,,,,,,,
GREEN,NA,STATION A,STATION D,0,6,0,0,0,,,,,,,,,
GREEN,NA,STATION D,STATION A,0,6,0,0,0,,,,,,,,,
GREEN,NA,STATION C,STATION E,0,2,0,0,0,,,,,,,,,
GREEN,NA,STATION E,STATION C,0,2,0,0,0,,,,,,,,,
RED,NA,STATION D,STATION E,0,5,0,0,0,,,,,,,,,
RED,NA,STATION E,STATION D,0,5,0,0,0,,,,,,,,,
RED,NA,STATION E,STATION G,0,6,0,0,0,,,,,,,,,
RED,NA,STATION G,STATION E,0,6,0,0,0,,,,,,,,,
BLUE,NA,STATION D,STATION H,0,10,0,0,0,,,,,,,,,
BLUE,NA,STATION H,STATION D,0,10,0,0,0,,,,,,,,,
BLUE,NA,STATION H,STATION B,0,5,0,0,0,,,,,,,,,
BLUE,NA,STATION B,STATION H,0,5,0,0,0,,,,,,,,,
PURPLE,STATION H,STATION G,0,4,0,0,0,,,,,,,,,
PURPLE,STATION G,STATION H,0,4,0,0,0,,,,,,,,,
PURPLE,STATION G,STATION F,0,3,0,0,0,,,,,,,,,
PURPLE,STATION F,STATION G,0,3,0,0,0,,,,,,,,,
PURPLE,STATION F,STATION B,0,2,0,0,0,,,,,,,,,
PURPLE,STATION B,STATION F,0,2,0,0,0,,,,,,,,,
