,,,,,,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),,AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),,,,,,,,
RED,NA,STATION A,STATION F,0,3,0,0,0,,,,,,,,
RED,NA,STATION F,STATION A,0,3,0,0,0,,,,,,,,
RED,NA,STATION F,STATION E,0,3,0,0,0,,,,,,,,
RED,NA,STATION E,STATION F,0,3,0,0,0,,,,,,,,
RED,NA,STATION C,STATION B,0,4,0,0,0,,,,,,,,
RED,NA,STATION B,STATION A,0,3,0,0,0,,,,,,,,
BLUE,NA,STATION G,STATION B,0,1,0,0,0,,,,,,,,
BLUE,NA,STATION B,STATION D,0,1,0,0,0,,,,,,,,
BLUE,NA,STATION D,STATION C,0,3,0,0,0,,,,,,,,
GREEN,NA,STATION A,STATION D,0,10,0,0,0,,,,,,,,
GREEN,NA,STATION E,STATION D,0,1,0,0,0,,,,,,,,
